date,close,high,low,open,quoteVolume,volume,weightedAverage
2016-10-28,5000.0,0.33,2100.0,0.33,0.087311,435.418519,4986.98353013
2016-10-29,1900.00000273,9000.0,1900.00000171,5000.0,9.1433752,39480.86475865,4317.97491572
2016-10-30,595.34662744,2399.99998847,404.85108929,2399.99998847,16.54773423,15008.09928951,906.95796058
2016-10-31,1600.18041051,2502.77543149,404.85109042,551.51580236,46.2283361,67170.20001133,1453.00925099
2016-11-01,1306.00000929,2080.8832601,1047.44999879,1535.6743894,55.75131909,89741.8273924,1609.68079064
2016-11-02,947.08036289,1499.99999996,851.00000023,1306.18619284,89.06206333,95953.30558994,1077.37573106
2016-11-03,899.99999998,1125.47017245,863.99166758,937.41627756,117.48802273,113145.46417992,963.03828722
2016-11-04,601.47915355,898.99999874,601.47915354,888.17982457,63.56881617,45678.8501226,718.57323881
2016-11-05,501.22446216,649.99999999,501.03804342,601.47915354,68.01832918,38266.51505535,562.59122381
2016-11-06,334.86616705,509.45974955,315.00011103,501.36974738,116.44021604,48506.93779885,416.58234112
2016-11-07,239.15571674,358.35491303,231.52953234,318.00000912,115.39241659,33453.41476767,289.9099937
2016-11-08,313.0,320.0,180.0,235.00001052,155.47544125,36768.11968468,236.48828
2016-11-09,255.30115049,400.61045854,221.13582515,319.11733102,395.37750144,107553.08571172,272.02631743
2016-11-10,225.74000185,259.99999999,224.83890016,255.2876,154.15293799,37932.77721135,246.07235973
2016-11-11,184.97160123,226.87430861,180.0,225.74000185,162.98830292,32427.38702289,198.95530195
2016-11-12,141.35825708,191.46623739,141.35825075,182.66214229,80.65356384,13140.5227077,162.9255061
2016-11-13,115.2582865,150.0,112.78611448,141.3582572,159.16670306,21019.8853928,132.06207698
2016-11-14,104.70502427,120.99999935,94.52000475,115.37966097,316.19822053,34273.49811632,108.39244464
2016-11-15,108.00304756,133.92502623,96.75630943,105.02831637,219.8159195,25209.34639682,114.68389757
2016-11-16,94.31010106,118.99999999,94.17000279,108.00304854,479.14419811,50160.21554326,104.68709783
2016-11-17,86.6,99.65,83.00000013,94.88284034,132.46803389,12116.61392732,91.46820988
2016-11-18,71.99999515,87.4,65.10000317,87.35642468,244.13998302,18989.4403655,77.78095226
2016-11-19,63.43000095,71.99999992,63.00000001,69.70263438,235.51056465,15876.7056188,67.41398477
2016-11-20,60.10954836,68.30201313,60.00000003,64.28708098,163.59795105,10270.71131877,62.7801953
2016-11-21,53.53545501,60.10954797,53.535353549999996,60.00000002,143.25147119,8204.62143169,57.27425598
2016-11-22,55.82412696,73.00000146,53.00010029,53.53545503,570.82572953,34708.66287392,60.80430695
2016-11-23,76.5,95.63000767,55.82412767,55.82412767,878.83144531,62975.18986632,71.65787046
2016-11-24,95.50000003,104.0,68.48781352,75.14858244,1005.47553525,85894.86798162,85.42710883
2016-11-25,90.94033866,107.5,86.59477572,97.79754937,546.20288401,52918.41016683,96.88416468
2016-11-26,75.4285209,93.14880712,73.75303638,89.45311684,420.55936476,34757.54518528,82.64599031
2016-11-27,67.20148218,81.7723443,65.14456394,77.70555573,354.50310668,24786.90036218,69.9201217
2016-11-28,69.9,75.58700452,65.0,68.0,163.8024422,11218.93309907,68.49063389
2016-11-29,67.62002821,77.1000377,67.06538802,72.2,158.38533175,11140.44443448,70.33760204
2016-11-30,67.5,72.5,65.4,67.62003127,213.90681754,14792.75916635,69.1551552
2016-12-01,62.00000001,67.79918957,61.6,67.5,246.12914091,15688.49545141,63.74091013
2016-12-02,59.02730605,64.59745675,58.6332401,62.79303777,459.55052509,28576.68840771,62.18399685
2016-12-03,58.724159,60.76999999,57.77780803,58.63323246,172.88980184,10189.79873005,58.9381133
2016-12-04,58.0,61.87600112,57.66666515,58.66307255,153.40569764,8992.61150727,58.61980125
2016-12-05,50.00000011,58.41180001,50.0,58.0,474.76462662,26170.64646496,55.12341273
2016-12-06,48.00000004,52.88888674,46.00000001,50.57366243,430.88496995,21115.88383288,49.00584913
2016-12-07,54.999999,61.49999999,47.08316385,48.00000002,647.46241647,36039.89147097,55.66329497
2016-12-08,52.451,57.4,52.451,53.71877985,219.53559542,11948.50147758,54.42626037
2016-12-09,49.86593947,53.0,49.3,52.6,265.86876939,13435.53538097,50.53446259
2016-12-10,49.4041332,50.5,47.74454104,49.84291001,213.74567029,10476.02675264,49.01164425
2016-12-11,48.0,51.15,47.777,49.66024032,130.9873717,6448.32987025,49.22863774
2016-12-12,49.9777,50.11694954,47.79002423,48.0,121.24170223,5925.36631025,48.87234508
2016-12-13,46.25,50.18999994,46.00000002,49.8,136.46879541,6592.75609214,48.30962325
2016-12-14,43.9899999,47.01264149,42.50036015,46.49999985,301.99240872,13602.94586078,45.04399934
2016-12-15,39.83316378,43.98999991,39.00000085,43.9899999,175.93497741,7376.46872173,41.92724397
2016-12-16,39.87657142,42.0,39.23816998,39.83316555,120.82568663,4856.73304425,40.19619651
2016-12-17,35.9857175,40.2066351,35.10074981,39.87578716,206.8356436,7694.00370303,37.19863544
2016-12-18,36.14756212,40.99999995,34.80001107,35.55191644,262.82774066,9648.82134213,36.71157891
2016-12-19,34.50000001,37.3,33.61309237,36.30001789,335.89781538,11706.63891704,34.8517864
2016-12-20,35.57500886,40.0,34.0,34.50000001,727.65291674,26931.64902925,37.01166917
2016-12-21,35.65000132,39.6,35.1257826,35.1257826,302.5899504,11140.64836922,36.81764167
2016-12-22,47.4,48.3,35.61000109,35.61000109,1033.25839807,43935.30543014,42.52112105
2016-12-23,51.50000001,65.0,45.00000001,47.43546159,2254.04253903,120989.68284489,53.67675221
2016-12-24,47.07682402,54.9999999,47.0,52.35379482,473.56214813,23068.37394411,48.71245312
2016-12-25,45.32233086,49.03909929,42.67467668,47.07683135,197.7583731,9022.12554285,45.62196483
2016-12-26,42.95,46.26626343,42.00000001,45.3225156,357.23083201,15669.50086233,43.86379746
2016-12-27,44.09973035,48.0,41.63988815,42.95,652.75171509,28981.05732394,44.39828598
2016-12-28,48.15179322,56.99999998,43.00820688,43.2803767,1282.04556351,65462.42424161,51.06091866
2016-12-29,50.76263853,53.2186742,48.29647685,48.50664651,310.39417795,15601.0066916,50.2619179
2016-12-30,50.29631835,52.22000001,49.5,50.62853506,384.38784954,19464.80878671,50.63846011
2016-12-31,48.05703669,50.54237349,47.50648689,50.06683839,198.11323553,9615.89934561,48.53738984
2017-01-01,48.05033467,49.2,47.61519818,48.05703669,390.30442499,18811.72785496,48.19757771
2017-01-02,49.87000002,50.90857531,47.91676801,48.0,518.61701151,25611.46689203,49.38416273
2017-01-03,49.38804289,50.9,48.0,49.57920571,757.49189145,37398.14522091,49.37101722
2017-01-04,54.93554166,55.0,49.121,49.121,1098.25370124,57743.12697419,52.57722046
2017-01-05,48.00000014,56.54999978,43.40019409,54.00000029,1429.79912177,71760.60487242,50.18929147
2017-01-06,46.12403432,50.88888886,45.0,48.86450268,421.56868295,19992.65164876,47.42442324
2017-01-07,46.55902332,47.42999998,43.9,46.4877896,295.7252765,13590.16096488,45.95535804
2017-01-08,46.17416658,48.06271576,45.50000001,46.75651805,387.11419936,18120.50445951,46.80919607
2017-01-09,46.26524654,46.71174591,45.05300002,45.87595216,258.50105758,11808.48564813,45.68060865
2017-01-10,45.15000002,46.44,45.14728725,46.0652466,196.58557408,8958.09954177,45.56844816
2017-01-11,40.77641369,46.5,39.19423431,45.31257139,1393.8249563,60254.90347074,43.22989282
2017-01-12,42.55611992,46.0,39.20000079,40.49075279,886.60936024,38874.60583243,43.84637426
2017-01-13,43.58575461,44.99999999,42.5,43.0,144.09910477,6257.91173486,43.42783214
2017-01-14,43.73172329,44.15,43.00000003,43.58208971,285.58029769,12425.80744463,43.51073076
2017-01-15,44.862,45.405775,42.59000139,43.52548682,346.84154669,15216.15059026,43.87061104
2017-01-16,43.33573711,45.77999992,43.25,44.93984479,199.64524219,8856.30373695,44.36020432
2017-01-17,44.22705566,45.92916306,43.38599469,43.5094788,657.86477825,29351.99080787,44.61705775
2017-01-18,44.0,44.62182161,41.7051,44.17070463,1332.2651559,57707.27181201,43.31515506
2017-01-19,44.14155829,44.39999999,42.71595185,43.58700043,360.69322254,15790.52858871,43.77827916
2017-01-20,43.67239535,44.39757553,43.15,44.39757553,333.51385954,14554.46705917,43.63976681
2017-01-21,43.54000001,44.676,43.27114005,43.58313094,391.62038893,17247.79367737,44.04212386
2017-01-22,43.25770951,44.6,42.85548343,43.54,808.23001962,35360.0405505,43.74997178
2017-01-23,42.78569699,44.07999999,42.56111111,43.20411596,388.7798875,16774.18017548,43.14569944
2017-01-24,41.05,43.5,41.0,42.78569699,522.78749475,21992.33164233,42.06744014
2017-01-25,39.80481622,41.85,39.12531307,41.05,594.00816295,24127.67526833,40.61842374
2017-01-26,38.31551525,41.64526826,37.111,39.91867423,992.25288311,39056.62807671,39.36156673
2017-01-27,37.86701581,39.98495238,37.6879398,37.89000244,1007.58514183,39089.49915724,38.79523182
2017-01-28,38.01800195,38.79999999,37.89651244,37.9154984,139.50344318,5354.31885869,38.3812667
2017-01-29,38.25700502,41.5,38.0006,38.18596129,510.82002144,20428.01368374,39.99062845
2017-01-30,39.75536866,40.40069999,38.25700502,38.25700505,215.41327583,8382.32180867,38.9127447
2017-01-31,39.12980802,40.4001029,38.75670227,40.11509916,618.75318126,24400.77769188,39.43539755
2017-02-01,39.87348711,40.5,38.93000001,39.12816349,348.23054223,13824.95690634,39.7005869
2017-02-02,39.3,39.85550852,38.88888,39.66746261,320.01999311,12546.33014697,39.20483225
2017-02-03,38.2866311,39.30004562,37.39796879,39.07528724,807.7864624,30852.59052436,38.19399304
2017-02-04,38.80524349,39.36834001,38.0,38.5,369.13277664,14230.19907954,38.550353630000004
2017-02-05,37.51224383,39.0,37.50000005,38.80524349,641.48414995,24284.479357,37.85670987
2017-02-06,36.9002,37.95177941,36.83027397,37.51224383,529.20376774,19758.7522781,37.33675661
2017-02-07,36.1,37.2194635,35.01,36.9002,955.16232983,34501.64213501,36.12123411
2017-02-08,34.90951593,36.5,34.00500005,36.10415824,2025.23408374,71166.20893197,35.13974483
2017-02-09,32.82380133,35.755,31.0,34.90951593,2168.90778211,73072.69988725,33.69101281
2017-02-10,32.94119812,33.38945749,31.86126346,32.96928619,383.7731703,12504.65043009,32.58344094
2017-02-11,32.52526733,33.6,32.2,32.92730596,438.33557621,14512.4763783,33.10814172
2017-02-12,31.50243358,32.734,31.5,32.63373978,241.24465623,7753.02977172,32.13762283
2017-02-13,30.47096038,31.8,30.14000001,31.75299989,895.34760642,27380.52869138,30.58089226
2017-02-14,32.57431371,33.0,30.2,30.47096038,1179.4757766,36895.05365008,31.28089137
2017-02-15,33.75121815,34.53109999,31.20500001,32.42390885,862.37350328,28364.69836164,32.89143074
2017-02-16,32.70796967,34.531,32.6788764,33.82878941,508.24680966,17166.34395759,33.77560592
2017-02-17,32.10003084,33.08118156,31.11,32.72439907,481.66105866,15577.94120766,32.342123
2017-02-18,30.80000029,32.4850813,30.71,32.13475638,507.38304916,15957.09530832,31.44979978
2017-02-19,30.57000001,31.39105151,30.567,30.80000029,427.92077751,13185.48588507,30.81291345
2017-02-20,31.25,31.39903617,30.4,30.57000001,435.01700297,13390.91418539,30.78250756
2017-02-21,30.07794005,31.25,29.79711441,30.99956881,511.99308336,15459.25496132,30.19426524
2017-02-22,27.00600016,30.33089553,27.005,30.07794005,1088.65289585,30969.64134715,28.44767277
2017-02-23,30.0000144,33.30399985,26.32,27.4252,2873.66467847,85513.16761297,29.75753164
2017-02-24,30.22017694,32.25499886,27.75785881,30.00001534,2719.88224817,82317.19053272,30.26498319
2017-02-25,29.04603684,30.97118928,28.50500045,30.5,520.25161297,15515.04572505,29.82219629
2017-02-26,29.49043317,30.294831,28.569418980000002,29.20285729,467.35540401,13741.61992723,29.40293363
2017-02-27,36.79999929,38.40000004,29.48169131,29.48169131,4726.60759399,158922.39388072,33.62292949
2017-02-28,37.15987712,38.695,34.00001648,36.79999865,3568.35963736,131850.71681393,36.94995185
2017-03-01,41.7,41.89999907,36.9806642,37.15987712,2887.95012955,115309.28355547,39.92772672
2017-03-02,39.810001,42.80179387,38.55000001,41.7,3032.14432394,122330.51212813,40.34455456
2017-03-03,41.88000115,42.68206483,38.12366768,39.81000112,2138.81324405,86075.93328602,40.24471679
2017-03-04,41.85,43.76999989,40.001,41.8800049,1091.95612045,45419.33263286,41.59446683
2017-03-05,39.50000001,41.55000009,39.005,41.55000008,816.67415522,32456.54233946,39.74234048
2017-03-06,40.4,40.4,37.6,39.50000001,1458.40245287,56978.96565286,39.06943898
2017-03-07,37.90980345,40.6,36.72000001,40.4,1327.84182342,50842.00471276,38.28920268
2017-03-08,35.36601993,38.44999606,35.0,37.90980348,1024.44353685,37202.31022809,36.3146517
2017-03-09,36.65095722,37.60999999,35.0,35.12625145,875.92409309,31954.4611683,36.48085652
2017-03-10,34.43509841,40.65160369,32.728,36.65095723,4400.90479766,161567.52999037,36.7123438
2017-03-11,39.35966785,39.90000834,34.50000001,35.0816987,2948.27736102,110466.78020031,37.46824557
2017-03-12,39.85000013,41.0,37.40500005,39.46801314,2935.00152798,114800.35386289,39.11423989
2017-03-13,47.46535926,49.22,39.80000107,40.04000001,7890.95862292,356564.43288594,45.18645324
