date,close,high,low,open,quoteVolume,volume,weightedAverage
2016-11-01,4.10823179,4.60213162,3.56,4.28849385,7908.15763589,30371.81779771,3.84056808
2016-11-02,4.39050543,4.58583434,4.06341573,4.06341578,1064.75788118,4632.33300297,4.35059752
2016-11-03,4.38,4.51266445,4.28643654,4.39050543,1514.95600517,6613.01689367,4.36515441
2016-11-04,4.34312678,4.72754442,4.34312678,4.55143445,1250.11620922,5580.47791393,4.46396732
2016-11-05,5.37513497,5.83,4.364309,4.3999999,2230.07270105,11373.85537288,5.1002173
2016-11-06,4.99,5.40974886,4.92170341,5.32400627,2137.33420098,11117.96432332,5.2017903
2016-11-07,4.83319013,5.23999997,4.79639864,4.9129000000000005,705.80771817,3464.11550564,4.9080159
2016-11-08,4.71744688,4.98798223,4.69894567,4.83319013,136.75827244,659.57661489,4.8229375999999995
2016-11-09,4.46,4.83609055,4.11765461,4.83609055,2733.95904292,12352.47343949,4.51816331
2016-11-10,4.99999998,4.99999998,4.4,4.40000001,1538.16775864,7382.79779747,4.79973511
2016-11-11,4.89043134,5.1,4.75084461,4.80888544,1175.27837031,5841.35859341,4.97019152
2016-11-12,4.86744577,5.02206918,4.79514379,4.79514392,357.4827021,1739.73679962,4.86663211
2016-11-13,4.79887978,4.99988653,4.79887978,4.91266017,18.0002513,88.64444233,4.92462248
2016-11-14,4.51,4.72423289,4.44106677,4.67098997,367.99703436,1660.11879359,4.51122872
2016-11-15,4.68975079,4.68975079,4.35033302,4.4683755099999996,361.594227,1629.68709832,4.50694999
2016-11-16,4.48978905,4.69999867,4.48975769,4.62931977,20.97375211,96.36459185,4.59453279
2016-11-17,4.4763489100000005,4.584,4.35000492,4.48975417,441.33623683,1993.71787329,4.5174579
2016-11-18,4.21787246,4.47590085,4.06092241,4.47590085,1181.45738098,4992.11923162,4.22539087
2016-11-19,4.49530062,4.9999990400000005,4.2,4.382,4103.1575197,18330.30515281,4.46736569
2016-11-20,4.32,4.79108376,4.32,4.54034289,281.97382899,1299.21764103,4.60758236
2016-11-21,4.5,4.57530067,4.3678211,4.55924818,71.34855006,320.74463799,4.49546119
2016-11-22,4.48922657,4.78998261,4.314,4.45626292,94.3458545,421.84156202,4.47122519
2016-11-23,4.43387639,4.50000999,4.31,4.48922657,175.55034087,758.96148872,4.3233267699999995
2016-11-24,4.13499757,4.32335788,4.10000001,4.32335788,122.78797247,512.38349503,4.17291274
2016-11-25,4.23676628,4.30811145,4.09413479,4.13867867,205.67139796,862.29457587,4.19258382
2016-11-26,4.06092816,4.33742725,4.06092268,4.09426764,81.62970824,339.07780145,4.15385291
2016-11-27,4.0,4.19009689,4.0,4.19009689,213.65694582,877.6674908,4.10783505
2016-11-28,3.6798803700000002,4.13448502,3.50000633,4.07439646,1911.30030522,7185.53734545,3.7595020100000003
2016-11-29,3.6700833900000003,3.73871815,3.58434232,3.71237603,175.01036816,643.43701748,3.67656513
2016-11-30,3.68811393,3.83562092,3.55732587,3.62424157,102.97321241,371.82907501,3.61093012
2016-12-01,3.6135349100000003,3.64688211,3.5,3.55564152,73.61300271,264.88648905,3.59836549
2016-12-02,3.36553329,3.54021787,3.23605211,3.54021787,1254.86382787,4259.01677027,3.39400712
2016-12-03,3.29894373,3.36462639,3.19309525,3.34933928,86.54845299,279.88180516,3.23381638
2016-12-04,3.29038607,3.37361172,3.23902422,3.27255498,15.05315752,48.9213706,3.24990757
2016-12-05,2.75,3.27665073,2.75,3.27665073,873.32723435,2554.26669966,2.92475328
2016-12-06,2.6166887,3.18956522,1.78706648,2.81763956,5304.65055686,12496.01821205,2.35567226
2016-12-07,3.1773054,3.56999969,2.71238691,2.71238691,1084.06137637,3376.93993511,3.11508186
2016-12-08,3.24391351,3.56999822,2.80356959,3.2669924999999997,115.24765234,383.39693409,3.32672229
2016-12-09,3.26312968,3.53810769,3.21293775,3.25005292,381.30320233,1284.18290553,3.36787862
2016-12-10,3.06699214,3.34359124,2.8,3.30596927,290.3479266,913.73794509,3.14704484
2016-12-11,3.1603453,3.25999984,3.00647023,3.06699216,35.12198913,111.57807237,3.17687224
2016-12-12,3.08356151,3.17116826,3.08356151,3.16034626,92.95507347,287.63862338,3.09438326
2016-12-13,3.0854159,3.14011694,2.9,3.11341921,110.45993453,341.20508944,3.08894886
2016-12-14,3.08059029,3.115,3.06835741,3.08541592,713.42991174,2198.45744639,3.08153248
2016-12-15,3.00300222,3.14395352,3.00144115,3.06835741,73.72464142,225.66797718,3.06095727
2016-12-16,2.94594202,2.98647257,2.85082857,2.9267091,295.95927083,864.78344296,2.92196774
2016-12-17,2.86018019,2.8783867,2.7734363,2.85330001,279.64521666,792.50872903,2.8339792
