date,close,high,low,open,quoteVolume,volume,weightedAverage
2016-08-29,1.24779743,1.34299708,1.22000746,1.3110026,38326.25215175,48954.88818327,1.27731999
2016-08-30,1.24836779,1.31617186,1.12999999,1.27597141,76163.93132135,92829.44573697,1.21881111
2016-08-31,1.18000073,1.2810000000000001,1.16004228,1.22999773,91951.63527678,112275.75038136,1.22103049
2016-09-01,1.44653418,1.49599046,1.17532,1.178,78717.52656038,105848.10598075,1.34465741
2016-09-02,1.41597872,1.4705782,1.36091789,1.4517,66568.65659702,93827.08434397,1.40947841
2016-09-03,1.35155175,1.41591685,1.31083186,1.41591685,31734.44690522,43134.2727585,1.3592256
2016-09-04,1.47,1.47,1.33087105,1.3709474400000001,53361.29788294,75263.77119712,1.41045615
2016-09-05,1.45770369,1.54331,1.43698844,1.47,29698.81067764,44308.67725247,1.49193439
2016-09-06,1.46616186,1.51999952,1.44451598,1.45501892,27949.42420522,41407.35528064,1.48151013
2016-09-07,1.4691855999999999,1.49580273,1.45,1.48298751,14305.11838734,21001.54733191,1.46811419
2016-09-08,1.45,1.53543001,1.45,1.47751838,17632.54011368,26092.17071304,1.47977379
2016-09-09,1.40301364,1.4548617400000001,1.38299999,1.446375,22663.26548288,32314.56122175,1.42585635
2016-09-10,1.42,1.45432898,1.4,1.41314971,8773.86331407,12520.91241165,1.42706946
2016-09-11,1.33011761,1.43329746,1.329,1.42887883,30234.37198783,41945.45967946,1.3873435
2016-09-12,1.3228412600000001,1.36480229,1.30732556,1.33100171,9784.56864296,12944.84730355,1.32298599
2016-09-13,1.29089094,1.33967134,1.28999998,1.3355598,9745.41050685,12800.13190211,1.3134523
2016-09-14,1.28455671,1.32001,1.2637364500000001,1.29089094,10278.30889057,13309.45181477,1.2949067699999999
2016-09-15,1.27882376,1.31607795,1.2768107,1.30130475,12570.16679702,16363.84728691,1.30180033
2016-09-16,1.31887352,1.3439513,1.28,1.28111908,15110.59465258,19728.90445818,1.30563388
2016-09-17,1.32997724,1.33,1.3075,1.31943366,5554.52779336,7303.77211569,1.31492223
2016-09-18,1.3374118400000001,1.36371145,1.3148439299999999,1.31872258,7457.88674149,9949.95698326,1.33415233
2016-09-19,1.27500095,1.33209679,1.27500009,1.32097644,10368.57707729,13404.22605635,1.2927739200000001
2016-09-20,1.24303621,1.28116259,1.24100872,1.27500076,34024.56026198,42958.86016488,1.26258384
2016-09-21,1.22136978,1.2690000000000001,1.21,1.24149572,25899.77607385,32040.26749233,1.2370866600000001
2016-09-22,1.26614109,1.34999995,1.12476565,1.22136978,79957.52233928,97890.23631513,1.224278
2016-09-23,1.234,1.29863554,1.22220803,1.25200029,19404.55115605,24227.02747685,1.24852295
2016-09-24,1.23391342,1.25598008,1.22365797,1.23567633,931.94025636,1153.13412126,1.23734768
2016-09-25,1.2046239,1.25534722,1.20453151,1.25534722,22577.84811505,27721.98342048,1.22783992
2016-09-26,1.20081289,1.22182993,1.20001802,1.22038658,10544.91399532,12812.48186314,1.21503901
2016-09-27,1.20039061,1.20944622,1.15970061,1.20081289,38798.1603144,45858.46433417,1.18197522
2016-09-28,1.24459165,1.26999999,1.19471428,1.20676034,9935.77583163,12351.97057443,1.24318128
2016-09-29,1.28158919,1.28158919,1.22902405,1.24859965,11697.84505908,14629.61206271,1.25062453
2016-09-30,1.2637807699999999,1.27956879,1.23726472,1.2671999999999999,17059.68944202,21322.28581371,1.24986365
2016-10-01,1.19059554,1.26741437,1.17,1.26354344,15409.39716767,18544.15686838,1.20343168
2016-10-02,1.19871377,1.21768765,1.17821728,1.19299513,9938.31193079,11870.13752623,1.19438166
